ID	HPO_Terms	Diagnostic_Genes
PMID_16965330_patient_6	HP:0002841; HP:0000829; HP:0001096; HP:0008209	AIRE
PMID_16965330_patient_8	HP:0002841; HP:0000829; HP:0008207; HP:0001596; HP:0002024; HP:0200120; HP:0008209; HP:0001733	AIRE
PMID_16965330_patient_14	HP:0002841; HP:0000829	AIRE
PMID_16965330_patient_10	HP:0002841; HP:0000829; HP:0008207; HP:0001096; HP:0200120; HP:0008209	AIRE
PMID_16965330_patient_7	HP:0002841; HP:0000829; HP:0001596; HP:0001096	AIRE
PMID_16965330_patient_3	HP:0002841; HP:0000829	AIRE
PMID_16965330_patient_12	HP:0000829	AIRE
PMID_16965330_patient_2	HP:0000829; HP:0008207; HP:0001596; HP:0001096	AIRE
PMID_16965330_Sibling_of_patient_7	HP:0002841; HP:0000829; HP:0001096	AIRE
PMID_16965330_patient_5	HP:0002841; HP:0000829; HP:0008207	AIRE
PMID_16965330_patient_9	HP:0002841; HP:0000829	AIRE
PMID_16965330_patient_11	HP:0002841; HP:0000829; HP:0008207; HP:0002024; HP:0200120	AIRE
PMID_16965330_Sibling_of_patient_11	HP:0002841; HP:0000829; HP:0200120	AIRE
PMID_16965330_patient_4	HP:0002841; HP:0000829	AIRE
PMID_16965330_patient_1	HP:0002841; HP:0000829; HP:0008207; HP:0200120	AIRE
PMID_28540407_index_case	HP:0002014; HP:0002024; HP:0006297; HP:0000518; HP:0000829; HP:0003472; HP:0008207	AIRE
PMID_16965330_patient_13	HP:0002841; HP:0000829; HP:0008207; HP:0200120; HP:0000518	AIRE
PMID_15945070_7-month-old_girl	HP:0025671; HP:0001250; HP:0001272; HP:0002059; HP:0000565; HP:0000113; HP:0001252; HP:0001508; HP:0003642; HP:0003073	ALG9
PMID_26453364_Patient_4	HP:0000470; HP:0000343; HP:0003196; HP:0025671; HP:0001631; HP:0002240; HP:0001790	ALG9
PMID_26453364_Patient_3	HP:0000252; HP:0001250; HP:0001272; HP:0002059; HP:0001263; HP:0002240; HP:0001508	ALG9
PMID_15148656_female_patient	HP:0000252; HP:0001250; HP:0001252; HP:0001263; HP:0002240; HP:0003642	ALG9
PMID_26453364_Patient_2	HP:0000252; HP:0001250; HP:0001272; HP:0002059; HP:0001263; HP:0002240; HP:0001508	ALG9
PMID_26453364_Patient_1	HP:0001263; HP:0000154; HP:0001250; HP:0000316; HP:0002827; HP:0001272; HP:0002240; HP:0000252; HP:0011304; HP:0002007; HP:0005280; HP:0002059; HP:0001057; HP:0000369; HP:0001508; HP:0000965; HP:0006610	ALG9
PMID_26040326_eldest_sister_III_1	HP:0001889; HP:0000093; HP:0100502	AMN
PMID_26040326_younger_sister_III_2	HP:0001889; HP:0000093; HP:0100502	AMN
PMID_22150416_Patient_1	HP:0002148; HP:0002694; HP:0003072; HP:0000365; HP:0000577; HP:0000648; HP:0025405; HP:0000639; HP:0003155; HP:0010628; HP:0003015; HP:0002007; HP:0000212; HP:0000256; HP:0004437	ANKH
PMID_22647861_41_year_old_woman	HP:0002148; HP:0003165; HP:0002150; HP:0003109; HP:0000867; HP:0005645; HP:0030840; HP:0001785; HP:0003419; HP:0005195; HP:0005017	ANKH
PMID_22150416_Patient_2	HP:0000365; HP:0003155; HP:0000256; HP:0009085; HP:0004407; HP:0000337; HP:0011225; HP:0000316; HP:0000276; HP:0000369; HP:0011386; HP:0000358; HP:0000506; HP:0002684; HP:0002694; HP:0004437; HP:0010628; HP:0003015; HP:0002007	ANKH
PMID_20358596_Patient_A	HP:0000365; HP:0004437; HP:0031428; HP:0003155; HP:0000256; HP:0010628; HP:0009085; HP:0000316; HP:0011968; HP:0000689; HP:0000678	ANKH
PMID_20186813_6_year_old_male	HP:0002694; HP:0002684; HP:0012370; HP:0000426; HP:0000431; HP:0000696	ANKH
PMID_20358596_Patient_C	HP:0004437; HP:0004407; HP:0000316; HP:0000452; HP:0000689; HP:0000680; HP:0002753; HP:0002684; HP:0000360	ANKH
PMID_20358596_Patient_B	HP:0002694; HP:0000365; HP:0004437; HP:0000648; HP:0003015; HP:0000316; HP:0010628; HP:0000256; HP:0005906; HP:0000303; HP:0000678	ANKH
PMID_36446582_KBG8B	HP:0000750; HP:0000414; HP:0011968; HP:0000308; HP:0000463; HP:0000325; HP:0001155; HP:0004322; HP:0001631	ANKRD11
PMID_36446582_Sirmaci2011_P4_previously_published_Brancati_2004	HP:0001249; HP:0007018; HP:0001572; HP:0000325; HP:0000343; HP:0001155; HP:0000294; HP:0000316; HP:0000463; HP:0000411	ANKRD11
PMID_36446582_Scarano_2013_P9	HP:0001249; HP:0001572; HP:0000343; HP:0001155; HP:0004322; HP:0000411	ANKRD11
PMID_36446582_KBG62	HP:0000325; HP:0001263; HP:0000664; HP:0001249; HP:0000414; HP:0002750; HP:0000308; HP:0000463; HP:0000023; HP:0007018	ANKRD11
PMID_36446582_Parenti2016_P1	HP:0001249; HP:0000729; HP:0001263; HP:0000574; HP:0000343; HP:0001155; HP:0001270; HP:0000750; HP:0011968; HP:0000294; HP:0000308; HP:0000664; HP:0000463	ANKRD11
PMID_36446582_Goldenberg2016_P24	HP:0001249; HP:0001263; HP:0001572; HP:0001155; HP:0000750	ANKRD11
