ID	HPO_Terms	Diagnostic_Genes
SCV000266464	HP:0008619; HP:0001250; HP:0001249; HP:0012443; HP:0001597; HP:0001199; HP:0011297; HP:0000929	TBC1D24
SCV002765057	HP:0000486; HP:0030051; HP:0011342; HP:0000648; HP:0001682	SFXN4
SCV000741960	HP:0001954; HP:0001903; HP:0004322; HP:0001508; HP:0002254; HP:0000252; HP:0003565; HP:0001974	TNFRSF1A
SCV001478336	HP:0000726	PSEN1
SCV001446624	HP:0000510	RPGR
SCV001447906	HP:0000510	RPE65
SCV001447946	HP:0000488; HP:0000532; HP:0001139; HP:0007661; HP:0031605	GPR143
SCV004048441	HP:0007875	RPE65
SCV001430890	HP:0000952; HP:0000662	RPE65
SCV005368308	HP:0031457; HP:0002105; HP:0002721; HP:0012146	VWF
SCV005382154	HP:0001250; HP:0002170	VWF
SCV005382326	HP:0001871	VWF
SCV004176431	HP:0001392	KLF1
SCV003845316	HP:0008151; HP:0002194; HP:0001508; HP:0005543; HP:0001647; HP:0002019; HP:0011968; HP:0001999; HP:0002597; HP:0000540; HP:0000421; HP:0003645; HP:0002239; HP:0001328; HP:0007018; HP:0001137; HP:0000925; HP:0004406; HP:0040288; HP:0001943; HP:0004850; HP:0012210; HP:0000646; HP:0000484; HP:0002584	VWF
SCV002523961	HP:0012759; HP:0001252	RAB3GAP2
SCV004047423	HP:0002355; HP:0002359; HP:0001324; HP:0012507; HP:0002515; HP:0003236	MICU1
SCV002578030	HP:0005982	PAH
SCV004565366	HP:0000268	ACTB
SCV005044136	HP:0010956	ACTG2
SCV004047802	HP:0002500; HP:0001250	NPC1
SCV000993597	HP:0001276; HP:0000486; HP:0000822; HP:0001508; HP:0000851	IFIH1
SCV001445000	HP:0000960; HP:0001508; HP:0004482; HP:0001270; HP:0001629; HP:0000219; HP:0000047; HP:0001762; HP:0000369; HP:0000411; HP:0000629; HP:0010781; HP:0001276; HP:0002020; HP:0001166; HP:0002015; HP:0000581; HP:0000767; HP:0002144	PIEZO2
SCV002575093	HP:0001999; HP:0002652; HP:0001643; HP:0001631; HP:0001433; HP:0001876	PGM3
SCV001622403	HP:0001249; HP:0007018; HP:0000750; HP:0100543; HP:0011145; HP:0000733	MECP2
SCV005060868	HP:0032245	GPIHBP1
SCV004047280	HP:0002090; HP:0002728	STAT1
SCV001445622	HP:0001548; HP:0012450; HP:0000483; HP:0000508; HP:0000316; HP:0001263; HP:0001250; HP:0000582; HP:0000565	MECP2
SCV000267148	HP:0002155; HP:0002583	GPIHBP1
SCV002574883	HP:0001270; HP:0001271; HP:0001385; HP:0002650; HP:0003198; HP:0007002; HP:0007108; HP:0007141	MT-ND1
SCV000741929	HP:0001263; HP:0002360; HP:0002307; HP:0001288; HP:0003474; HP:0000750	UBE3A
SCV000741506	HP:0000252; HP:0002066; HP:0040082; HP:0001263; HP:0000568; HP:0000494; HP:0000286; HP:0000537; HP:0000400; HP:0000448; HP:0000414; HP:0012471; HP:0004324; HP:0001324; HP:0002136; HP:0001010; HP:0000978; HP:0002307	UBE3A
SCV005438900	HP:0000951	KRT6A
SCV002073871	HP:0001875	JAGN1
SCV000257555	HP:0200134; HP:0001263	KCNB1
SCV001444804	HP:0001250; HP:0007359; HP:0002121; HP:0001270; HP:0001249; HP:0002069; HP:0000708; HP:0000750	KCNB1
SCV001160739	HP:0000815	MCM9
SCV004100778	HP:0000252; HP:0002197; HP:0004322	MCM9
SCV001447662	HP:0000998; HP:0001252; HP:0001263; HP:0011815; HP:0012448	CREBBP
SCV002526121	HP:0000256; HP:0001252; HP:0000639; HP:0000347; HP:0031703	NSD1
SCV002506760	HP:0001250; HP:0002132; HP:0007018; HP:0001263	ADGRG1
SCV005368159	HP:0011344; HP:0002197; HP:0001302; HP:0007359	PAFAH1B1
SCV000741231	HP:0001263; HP:0011968; HP:0001508; HP:0100327; HP:0002360; HP:0000752; HP:0000739; HP:0002352; HP:0007874; HP:0000293; HP:0000219; HP:0010747; HP:0004209; HP:0001803	UBE3A
SCV000742143	HP:0000252; HP:0001263; HP:0001252; HP:0001357; HP:0002015; HP:0001250; HP:0000324; HP:0000494; HP:0000368; HP:0000322; HP:0000218; HP:0000475; HP:0000470; HP:0006610; HP:0040019; HP:0006184; HP:0000054; HP:0000028; HP:0000565; HP:0000508; HP:0000483	ZEB2
SCV005368302	HP:0005487; HP:0100022; HP:0000256; HP:0000098; HP:0001601	NSD1
SCV003936047	HP:0003510; HP:0003510	PCNT
SCV000741083	HP:0001250; HP:0000252; HP:0000341; HP:0001252; HP:0002282; HP:0002126; HP:0010636; HP:0001302; HP:0012443; HP:0200134; HP:0001263	WDR62
SCV001439877	HP:0011344; HP:0000252; HP:0001250; HP:0001276; HP:0012650; HP:0010636	WDR62
SCV005044831	HP:0001626	SGO1
SCV001480149	HP:0000201; HP:0000365; HP:0000518; HP:0001698	MAF
SCV005044791	HP:0000707	CARS2
SCV003930384	HP:0001250; HP:0011174; HP:0001249; HP:0032051; HP:0010841; HP:0001250; HP:0001250	DEPDC5
SCV002526122	HP:0000347; HP:0011800; HP:0000413	RPS28
SCV003845229	HP:0001344; HP:0010297; HP:0100021; HP:0006528; HP:0000280; HP:0002019; HP:0012735; HP:0002376; HP:0001332; HP:0001508; HP:0008872; HP:0001263; HP:0000162; HP:0025267; HP:0002901; HP:0001249; HP:0004305; HP:0003635; HP:0000368; HP:0000308; HP:0011470; HP:0002179; HP:0000201; HP:0001357; HP:0001582; HP:0002098; HP:0001525; HP:0200012; HP:0000963; HP:0002119	KCNJ6
SCV000742046	HP:0001508; HP:0000365; HP:0000294; HP:0001290; HP:0000505; HP:0000252; HP:0002187	CDKL5
SCV001447571	HP:0000510	PDE6B
SCV000741903	HP:0000528; HP:0000568; HP:0000612	RBP4
SCV002522741	HP:0000657; HP:0001332; HP:0001260; HP:0007266; HP:0001273; HP:0000657; HP:0001332; HP:0001260; HP:0007266; HP:0001273	ARX
SCV000223993	HP:0000177; HP:0002162; HP:0009794; HP:0007678; HP:0010748; HP:0009794; HP:0007678; HP:0000588; HP:0040119; HP:0002216	TFAP2A
SCV000223995	HP:0000204; HP:0000369; HP:0009794; HP:0002162; HP:0000588; HP:0000413	TFAP2A
SCV002553186	HP:0003391; HP:0002515; HP:0007340; HP:0020152	COL6A1
