ID	HPO_Terms	Diagnostic_Genes
D_558188	HP:0007018; HP:0001249; HP:0000256	BRSK2
D_263300	HP:0002136; HP:0000750; HP:0005280; HP:0000964; HP:0001263; HP:0010864; HP:0000252; HP:0000687	CSNK2A1
D_263301	HP:0010214; HP:0000750; HP:0001765; HP:0010864; HP:0004879	HNRNPH2
D_263304	HP:0001263; HP:0000540; HP:0000733; HP:0001762	ZC4H2
D_263305	HP:0001290; HP:0001263; HP:0000508; HP:0001762	ZC4H2
D_263310	HP:0004691; HP:0000032; HP:0007598; HP:0000175; HP:0002020; HP:0001290; HP:0007206; HP:0000540; HP:0008439; HP:0000347; HP:0003502; HP:0000609; HP:0000938; HP:0002974; HP:0002119; HP:0002953	B4GALT7
D_394390	HP:0001999; HP:0000405; HP:0001256; HP:0001059; HP:0000508; HP:0002650	SETD5
D_263319	HP:0000256; HP:0000098; HP:0004233; HP:0001263; HP:0000750; HP:0001762; HP:0000336	DNMT3A
D_263322	HP:0002028; HP:0001263; HP:0000430; HP:0000286; HP:0003196	HUWE1
D_263326	HP:0001999; HP:0001263; HP:0001513	MECP2
D_263331	HP:0001999; HP:0000718; HP:0002019; HP:0002307; HP:0000964; HP:0001288; HP:0001263; HP:0002360	PTCHD1
D_263344	HP:0000717; HP:0002002; HP:0002373; HP:0001263	RHOBTB2
D_263346	HP:0000159; HP:0000377; HP:0000494; HP:0000286; HP:0002066; HP:0001757; HP:0002901; HP:0000426; HP:0002788; HP:0006610	ITPR1
D_263348	HP:0001999; HP:0003186; HP:0001357; HP:0001328; HP:0000486	ARID2
